1	518649411.179166
z03mangahere	"Aoi" - Hikaru ga Chikyuu ni Itakoro......	441	518609396.926520	L		518609396.926520
mangareader	Kaichou wa Maid-sama!	0.000000	0.000000
z05mangapanda	Naruto	0.000000	0.000000
z06kissmanga	One Piece	0.000000	0.000000
mangafoxmb	Onepunch-Man	0.000000	0.000000
z09mangatown	Shokugeki no Soma	0.000000	0.000000
z02batoto	Stealth Symphony	0.000000	0.000000
mangafox	World Trigger	0.000000	0.000000
z03mangahere	Zettai Heiwa Daisakusen	0.000000	0.000000
156		419753021.841929	419753056.731738
157		419753058.501114	419753102.852350
158		419753104.786564	419753143.990633
159		419753145.740089	419753182.994781
160		419753184.966979	419753232.580226
161		419753234.324846	419753292.236356
162		419753294.127262	419753338.005614
163		419753339.187286	419753389.326783
164		419753390.794526	419753462.349466
165		419753463.852922	419753533.325789
166		419753535.282815	419753605.397757
167		419830808.915266	419830904.199895
168		419830988.755561	419831061.614147
169		419831063.408982	419831132.017653
170		419831133.960116	419831210.024239
171		419831211.770545	419831333.603898
172		419886219.501519	419886299.021547
173		419886299.367419	419886367.242353
174		419886367.979150	419886434.664773
175		419886455.378733	419886494.336876
176		419886496.989581	419886527.557063
178		419886634.179892	419886711.223510
179		419886711.738768	419886766.892902
180		419886767.526185	419886832.581875
181		419886833.141187	419886904.204837
