1	20150513
Postcards in Braille	kurisquare	http://www.tapastic.com/series/postcards	N	N	N	N
House of LSD	J3T	http://www.tapastic.com/series/houseoflsd	N	N	N	N
Grey is...	dee Juusan	http://www.tapastic.com/series/greyis	N	N	N	N
SE;ki	rukan	http://www.tapastic.com/series/seki	N	N	N	N
I'd rather date my laptop	Little-Miss-Boxie	http://www.tapastic.com/series/Id-rather-date-my-laptop	N	N	N	N
MED	Mr. Nohman	http://www.tapastic.com/series/MED	N	N	N	N
Soul to Call	Rommie	http://www.tapastic.com/series/Soul-to-Call	N	N	N	N
Trivia from Nature	Fany	http://www.tapastic.com/series/nature	N	N	N	N
Take Care Of My Cat	Eunshin/DK/JY	http://www.tapastic.com/series/takecareofmycat	N	N	N	N
About Karma	cookiesdf	http://www.tapastic.com/series/aboutkarma	N	N	N	N
Rainy Days	Dave Stankoven	http://www.tapastic.com/series/Rainy-Days	N	N	N	N
Black Grave	Mika Weiseth	http://www.tapastic.com/series/blackgrave	N	N	N	N
Defying Gravity	Taybee	http://www.tapastic.com/series/defyinggravity	N	N	N	N
30 Days of Giveaways	TAPASTIC STAFF	http://www.tapastic.com/series/30daysofgiveaways	N	N	N	N
Urban Reality	Jon-Lock	http://www.tapastic.com/series/Urban-Reality	N	N	N	N
Socially Prepared	Devin Bosco Le	http://www.tapastic.com/series/sociallyprepared	N	N	N	N
Carciphona	Shilin	http://www.tapastic.com/series/carciphona	N	N	N	N
Triple D	RushiSketcher	http://www.tapastic.com/series/Triple-D	N	N	N	N
Like A Wolf	Se Hyung Lee 	http://www.tapastic.com/series/Like-A-Wolf	N	N	N	N
The Last Memory	Silent	http://www.tapastic.com/series/TheLastMemory	N	N	N	N
Brief Histories of Everyday Objects	Andy Warner	http://www.tapastic.com/series/303	N	N	N	N
Stop Kissing My Sister	TotemEye	http://www.tapastic.com/series/SKMS	N	N	N	N
Melodies of the Heart	Little-Miss-Boxie	http://www.tapastic.com/series/MotHSeries	N	N	N	N
Midknighters	Mika Weiseth	http://www.tapastic.com/series/Midknighters	N	N	N	N
Homeycomb: A Married Life	homeybees	http://www.tapastic.com/series/Homeycomb-A-Married-Life	N	N	N	N
The Sanity Circus	Windy	http://www.tapastic.com/series/SanCirc	N	N	N	N
404 Life Not Found	fottantuno	http://www.tapastic.com/series/404-Life-Not-Found	N	N	N	N
MindBound	Bonnie Pang	http://www.tapastic.com/series/MindBound	N	N	N	N
Ripman The Bloody Halloween	Mika Weiseth	http://www.tapastic.com/series/ripman	N	N	N	N
Averagelicious	lallirrr	http://www.tapastic.com/series/Average-Adventures-of-an-Average-Girl	N	N	N	N
Gameboylands	Bonache	http://www.tapastic.com/series/gameboylands	N	N	N	N
Atlas	KnightJJ	http://www.tapastic.com/series/Atlaswebcomic	N	N	N	N
Interactive Manga: Rain	Fuugen	http://www.tapastic.com/series/interactivemanga	N	N	N	N
No Girlfriend Comics	Dami Lee	http://www.tapastic.com/series/NoGirlfriendComics	N	N	N	N
(SPACE) GIRL & I	calliptus	http://www.tapastic.com/series/space-girl-and-i	N	N	N	N
Pink	celiere	http://www.tapastic.com/series/pink	N	N	N	N
Stutterhug	Samantha Davies	http://www.tapastic.com/series/Stutterhug	N	N	N	N
The Justice Triad	maltair	http://www.tapastic.com/series/thejusticetriad	N	N	N	N
Hidden in Plain Sight	celiere	http://www.tapastic.com/series/hiddeninplainsight	N	N	N	N
The Myth of Eros and Psyche	Achiru	http://www.tapastic.com/series/The-Myth-of-Eros-and-Psyche	N	N	N	N
Under rainy days	Suihowl	http://www.tapastic.com/series/Under-rainy-days	N	N	N	N
Hazy Daze	Chaser	http://www.tapastic.com/series/hazydaze	N	N	N	N
Magnolia Online	R. Merryweather	http://www.tapastic.com/series/Magnolia-Online	N	N	N	N
X-Arcadia	KURU-SAN	http://www.tapastic.com/series/746	N	N	N	N
TRAUMA	G.Baeks	http://www.tapastic.com/series/TRAUMA	N	N	N	N
Gangsta and Paradise	Nila Nandita	http://www.tapastic.com/series/gangsta	N	N	N	N
Damn my god!	LumenIzampel	http://www.tapastic.com/series/Damn-my-god	N	N	N	N
Silversong	Sugar Fiend	http://www.tapastic.com/series/Silversong	N	N	N	N
Jubes Comic Blog	Jubes	http://www.tapastic.com/series/424	N	N	N	N
DomestiCats	ShinePaw	http://www.tapastic.com/series/DomestiCats	N	N	N	N
MY LIFE	Kii	http://www.tapastic.com/series/MY-LIFE1	N	N	N	N
Girl and Monkey	ZengMonkey	http://www.tapastic.com/series/Girl-and-Monkey	N	N	N	N
Tentacle Kitty	John Merritt	http://www.tapastic.com/series/TentacleKitty	N	N	N	N
Only Human	Sinlaire	http://www.tapastic.com/series/Onlyhuman	N	N	N	N
Maximumble	Chris Hallbeck	http://www.tapastic.com/series/Maximumble	N	N	N	N
001	Kel	http://www.tapastic.com/series/RB001	N	N	N	N
Shadowbinders	Kneon & Kambrea	http://www.tapastic.com/series/Shadowbinders	N	N	N	N
Belial and Reno	captainhanni	http://www.tapastic.com/series/belialandreno	N	N	N	N
Useless in a useful way	Lisha Merican	http://www.tapastic.com/series/Useless-in-a-useful-way	N	N	N	N
A Mirror's Tale	Kikiine	http://www.tapastic.com/series/A-Mirrors-Tale	N	N	N	N
Pigtelligent	Pigtelligent	http://www.tapastic.com/series/pigtelligent	N	N	N	N
Witchy	Ariel Ries	http://www.tapastic.com/series/Witchy	N	N	N	N
miso paste	instantmiso	http://www.tapastic.com/series/miso-paste	N	N	N	N
Freakshow	Scotty	http://www.tapastic.com/series/267	N	N	N	N
COMPLAIN FOREVER	WOWZERS	http://www.tapastic.com/series/WOWZERS	N	N	N	N
Inklings	Rebel Joye	http://www.tapastic.com/series/Inklings	N	N	N	N
My Chinese is no good ...	Sasha Mutch	http://www.tapastic.com/series/My-Chinese-is-no-good	N	N	N	N
NiceToMeetYou	Wishroomness	http://www.tapastic.com/series/NTMY	N	N	N	N
Frankie Comics	Rachel Dukes	http://www.tapastic.com/series/Frankie-Comics	N	N	N	N
Mixed	SUAH WEI HONG	http://www.tapastic.com/series/mixed	N	N	N	N
Killer Cake	Mika Weiseth	http://www.tapastic.com/series/Killer-Cake	N	N	N	N
Mecha Necha	Little-Miss-Boxie	http://www.tapastic.com/series/Mecha-Necha	N	N	N	N
The Squeak Life	mmidori31	http://www.tapastic.com/series/The-Squeak-Life	N	N	N	N
Busy Bitches	Henar & Nuria	http://www.tapastic.com/series/busybitches	N	N	N	N
My Pet Succubus	Carlos G.	http://www.tapastic.com/series/PetSuccubus	N	N	N	N
Splendiferous 	Katherine A. Budak	http://www.tapastic.com/series/Splendiferous-	N	N	N	N
butts	feyuca	http://www.tapastic.com/series/butts	N	N	N	N
Princess Blanket	Cicudelic	http://www.tapastic.com/series/Princess-Blanket	N	N	N	N
Pretty Mouth	BonesMcKay	http://www.tapastic.com/series/Pretty-Mouth	N	N	N	N
Peony	Kikiine	http://www.tapastic.com/series/Peony	N	N	N	N
StarSighted	Jen-Jen Rose	http://www.tapastic.com/series/StarSighted	N	N	N	N
Mr. Lovenstein	J. L. Westover	http://www.tapastic.com/series/MrLovenstein	N	N	N	N
Heart of A Companion	reonsio - Hong daeui	http://www.tapastic.com/series/Heart-of-Companion	N	N	N	N
SIN	Quirkilicious	http://www.tapastic.com/series/SIN	N	N	N	N
Pucca: What's Yours is Mine	Littlekidsin	http://www.tapastic.com/series/Pucca-Whats-Yours-is-Mine	N	N	N	N
Another Slice	ZARP	http://www.tapastic.com/series/Another-Slice	N	N	N	N
Bad Angel	Orangeplum	http://www.tapastic.com/series/Bad-Angel	N	N	N	N
Awkward Andy	Victoria	http://www.tapastic.com/series/awkwardandy	N	N	N	N
A is for Alan	SmartGem	http://www.tapastic.com/series/A-is-for-Alan	N	N	N	N
Tomorrow	Mir.k & Rizbee	http://www.tapastic.com/series/tomorrow	N	N	N	N
Nigh Heaven & Hell	Scotty	http://www.tapastic.com/series/264	N	N	N	N
Through Crestan Eyes	Zelkats	http://www.tapastic.com/series/Through-Crestan-Eyes	N	N	N	N
MyBerlin	Iron	http://www.tapastic.com/series/MyBerlin	N	N	N	N
Color Drops	Qyrara	http://www.tapastic.com/series/Color-Drops	N	N	N	N
Not Yours, Am I?	scottwm	http://www.tapastic.com/series/NotYoursAmI	N	N	N	N
Horror Dating	Baer	http://www.tapastic.com/series/Horror-Dating	N	N	N	N
Names	villainesayre	http://www.tapastic.com/series/Names	N	N	N	N
Something Something Thursdays	Charlie Higson	http://www.tapastic.com/series/Something-Something-Thursdays	N	N	N	N
Chewrining	sangsin, joongrok	http://www.tapastic.com/series/Chewrining	N	N	N	N
Earth, Human, and Animal	JISADONG	http://www.tapastic.com/series/eha	N	N	N	N
Death Sin	Fallen Manga Studios	http://www.tapastic.com/series/deathsin	N	N	N	N
Wonderful Stories of Uncle Frank	velvetpig	http://www.tapastic.com/series/561	N	N	N	N
Mount Lowe	Humbird	http://www.tapastic.com/series/Mount-Lowe	N	N	N	N
Everyday Dramaz - Animated	Akiocha	http://www.tapastic.com/series/Everyday-Dramaz	N	N	N	N
No Panic Button	vimeddiee	http://www.tapastic.com/series/No-Panic-Button	N	N	N	N
Singmire Haze	nox.fox	http://www.tapastic.com/series/Singmire-Haze	N	N	N	N
Share Your Vulnerability	Rory	http://www.tapastic.com/series/Share-Your-Vulnerability	N	N	N	N
Network	Vio	http://www.tapastic.com/series/network	N	N	N	N
Faerie Gari	Zelkats	http://www.tapastic.com/series/Faerie-Gari	N	N	N	N
Oscillating Profundities	TeddyHose	http://www.tapastic.com/series/oscillatingprofundities	N	N	N	N
Looky Squares	Justin Duvall	http://www.tapastic.com/series/LookySquares	N	N	N	N
The Premise	MGO	http://www.tapastic.com/series/The-Premise	N	N	N	N
Nightmare Factory	SnaiLords	http://www.tapastic.com/series/Nightmare-Factory	N	N	N	N
